job_posting_text,rule_bias_score,bias_risk,detected_masculine_terms,detected_exclusionary_terms,detected_inclusive_terms
Titre : Scientifique des données. Notre organisation cherche une candidate ou un candidat motivé. Connaissance des outils numériques modernes. Présence obligatoire soir et weekend. Notre environnement inclusif soutient la diversité.,1,faible,,présence obligatoire soir et weekend,environnement inclusif
Titre : Analyste de données. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Intérêt pour la collaboration et l'amélioration continue. Culture très masculine et compétitive. Nous favorisons l'équilibre travail vie personnelle.,0,faible,,culture très masculine,"équilibre travail vie personnelle, équipe diversifiée"
Titre : Spécialiste cybersécurité. Notre organisation cherche une candidate ou un candidat motivé. Capacité à résoudre des problèmes avec rigueur. Capacité à résoudre des problèmes avec rigueur. Nous encourageons les femmes à postuler. Des accommodements raisonnables sont disponibles.,0,faible,,,"accommodements raisonnables, nous encourageons les femmes à postuler"
Titre : Chargée ou chargé de produit. Nous recrutons une personne pour rejoindre notre équipe. Expérience pertinente en gestion de projet ou domaine similaire. Culture très masculine et compétitive. Nous valorisons les candidatures de tous horizons.,1,faible,,culture très masculine,candidatures de tous horizons
Titre : Développeuse ou développeur logiciel. Nous cherchons un rockstar developer agressif et ultra compétitif. Heures illimitées attendues. Culture très masculine et compétitive. La personne devra être très compétitive et disponible en tout temps.,15,élevé,"agressif, compétitif, rockstar","disponible en tout temps, culture très masculine, heures illimitées",
Titre : Spécialiste cybersécurité. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Intérêt pour la collaboration et l'amélioration continue. Connaissance des outils numériques modernes. Notre environnement inclusif soutient la diversité. Des accommodements raisonnables sont disponibles.,0,faible,,,"environnement inclusif, accommodements raisonnables"
Titre : Analyste de données. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Expérience pertinente en gestion de projet ou domaine similaire. Capacité à résoudre des problèmes avec rigueur. Nous encourageons les femmes à postuler. Notre environnement inclusif soutient la diversité.,0,faible,,,"environnement inclusif, nous encourageons les femmes à postuler, équipe diversifiée"
Titre : Analyste de données. Nous recrutons une personne pour rejoindre notre équipe. Expérience pertinente en gestion de projet ou domaine similaire. Capacité à communiquer clairement. Nous valorisons les candidatures de tous horizons. Nous encourageons les femmes à postuler.,0,faible,,,"candidatures de tous horizons, nous encourageons les femmes à postuler"
Titre : Développeuse ou développeur logiciel. Notre organisation cherche une candidate ou un candidat motivé. Connaissance des outils numériques modernes. Doit être jeune diplômé et sans contraintes familiales. Un horaire flexible est possible selon les besoins de l'équipe.,4,modéré,,"jeune diplômé, sans contraintes familiales",horaire flexible
Titre : Spécialiste cybersécurité. Poste pour fonceur impitoyable capable de travailler sous pression extrême. Heures illimitées attendues. Présence obligatoire soir et weekend. La personne devra être très compétitive et disponible en tout temps.,15,élevé,"fonceur, impitoyable, sous pression extrême","disponible en tout temps, heures illimitées, présence obligatoire soir et weekend",
Titre : Chargée ou chargé de produit. Nous recrutons une personne pour rejoindre notre équipe. Capacité à communiquer clairement. Heures illimitées attendues. Nous encourageons les femmes à postuler.,1,faible,,heures illimitées,nous encourageons les femmes à postuler
Titre : Gestionnaire de projet. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Connaissance des outils numériques modernes. Présence obligatoire soir et weekend. Nous encourageons les femmes à postuler.,0,faible,,présence obligatoire soir et weekend,"nous encourageons les femmes à postuler, équipe diversifiée"
Titre : Ingénieure ou ingénieur ML. Notre organisation cherche une candidate ou un candidat motivé. Expérience pertinente en gestion de projet ou domaine similaire. Heures illimitées attendues. Nous favorisons l'équilibre travail vie personnelle.,1,faible,,heures illimitées,équilibre travail vie personnelle
Titre : Analyste de données. Nous recrutons une personne pour rejoindre notre équipe. Intérêt pour la collaboration et l'amélioration continue. Pas de télétravail possible. Des accommodements raisonnables sont disponibles.,0,faible,,pas de télétravail possible,"accommodements raisonnables, télétravail possible"
Titre : Analyste de données. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Expérience pertinente en gestion de projet ou domaine similaire. Culture très masculine et compétitive. Des accommodements raisonnables sont disponibles.,1,faible,,culture très masculine,accommodements raisonnables
Titre : Gestionnaire de projet. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Capacité à communiquer clairement. Connaissance des outils numériques modernes. Nous valorisons les candidatures de tous horizons. Nous favorisons l'équilibre travail vie personnelle.,0,faible,,,"candidatures de tous horizons, équilibre travail vie personnelle, équipe diversifiée"
Titre : Chargée ou chargé de produit. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à résoudre des problèmes avec rigueur. Pas de télétravail possible. Des accommodements raisonnables sont disponibles.,0,faible,,pas de télétravail possible,"accommodements raisonnables, télétravail possible"
Titre : Ingénieure ou ingénieur ML. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Intérêt pour la collaboration et l'amélioration continue. Présence obligatoire soir et weekend. Nous encourageons les femmes à postuler.,1,faible,,présence obligatoire soir et weekend,nous encourageons les femmes à postuler
Titre : Spécialiste cybersécurité. Notre organisation cherche une candidate ou un candidat motivé. Connaissance des outils numériques modernes. Capacité à résoudre des problèmes avec rigueur. Un horaire flexible est possible selon les besoins de l'équipe. Nous favorisons l'équilibre travail vie personnelle.,0,faible,,,"horaire flexible, équilibre travail vie personnelle"
Titre : Analyste de données. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Intérêt pour la collaboration et l'amélioration continue. Capacité à communiquer clairement. Des accommodements raisonnables sont disponibles. Nous valorisons les candidatures de tous horizons.,0,faible,,,"candidatures de tous horizons, accommodements raisonnables, équipe diversifiée"
Titre : Gestionnaire de projet. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Intérêt pour la collaboration et l'amélioration continue. Capacité à résoudre des problèmes avec rigueur. Nous favorisons l'équilibre travail vie personnelle. Notre environnement inclusif soutient la diversité.,0,faible,,,"environnement inclusif, équilibre travail vie personnelle"
Titre : Scientifique des données. Notre organisation cherche une candidate ou un candidat motivé. Expérience pertinente en gestion de projet ou domaine similaire. Présence obligatoire soir et weekend. Nous favorisons l'équilibre travail vie personnelle.,1,faible,,présence obligatoire soir et weekend,équilibre travail vie personnelle
Titre : Scientifique des données. Notre organisation cherche une candidate ou un candidat motivé. Connaissance des outils numériques modernes. Culture très masculine et compétitive. Des accommodements raisonnables sont disponibles.,1,faible,,culture très masculine,accommodements raisonnables
Titre : Analyste de données. Poste pour fonceur impitoyable capable de travailler sous pression extrême. Présence obligatoire soir et weekend. Culture très masculine et compétitive. La personne devra être très compétitive et disponible en tout temps.,15,élevé,"fonceur, impitoyable, sous pression extrême","disponible en tout temps, culture très masculine, présence obligatoire soir et weekend",
Titre : Gestionnaire de projet. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Connaissance des outils numériques modernes. Pas de télétravail possible. Un horaire flexible est possible selon les besoins de l'équipe.,0,faible,,pas de télétravail possible,"horaire flexible, télétravail possible"
Titre : Chargée ou chargé de produit. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Intérêt pour la collaboration et l'amélioration continue. Connaissance des outils numériques modernes. Notre environnement inclusif soutient la diversité. Notre environnement inclusif soutient la diversité.,0,faible,,,environnement inclusif
Titre : Analyste de données. Notre organisation cherche une candidate ou un candidat motivé. Intérêt pour la collaboration et l'amélioration continue. Expérience pertinente en gestion de projet ou domaine similaire. Nous favorisons l'équilibre travail vie personnelle. Un horaire flexible est possible selon les besoins de l'équipe.,0,faible,,,"horaire flexible, équilibre travail vie personnelle"
Titre : Chargée ou chargé de produit. Nous voulons un guerrier capable de dominer le marché. Présence obligatoire soir et weekend. Présence obligatoire soir et weekend. La personne devra être très compétitive et disponible en tout temps.,8,modéré,guerrier,"disponible en tout temps, présence obligatoire soir et weekend",
Titre : Gestionnaire de projet. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Expérience pertinente en gestion de projet ou domaine similaire. Présence obligatoire soir et weekend. Notre environnement inclusif soutient la diversité.,1,faible,,présence obligatoire soir et weekend,environnement inclusif
Titre : Développeuse ou développeur logiciel. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Expérience pertinente en gestion de projet ou domaine similaire. Capacité à résoudre des problèmes avec rigueur. Nous valorisons les candidatures de tous horizons. Notre environnement inclusif soutient la diversité.,0,faible,,,"candidatures de tous horizons, environnement inclusif"
Titre : Analyste de données. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à communiquer clairement. Connaissance des outils numériques modernes. Nous encourageons les femmes à postuler. Nous encourageons les femmes à postuler.,0,faible,,,nous encourageons les femmes à postuler
Titre : Spécialiste cybersécurité. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Connaissance des outils numériques modernes. Heures illimitées attendues. Nous valorisons les candidatures de tous horizons.,0,faible,,heures illimitées,"candidatures de tous horizons, équipe diversifiée"
"Titre : Gestionnaire de projet. Nous cherchons un leader né, disponible en tout temps. Doit être jeune diplômé et sans contraintes familiales. Doit être jeune diplômé et sans contraintes familiales. La personne devra être très compétitive et disponible en tout temps.",11,élevé,leader né,"jeune diplômé, sans contraintes familiales, disponible en tout temps",
Titre : Analyste de données. Nous recrutons une personne pour rejoindre notre équipe. Capacité à communiquer clairement. Présence obligatoire soir et weekend. Un horaire flexible est possible selon les besoins de l'équipe.,1,faible,,présence obligatoire soir et weekend,horaire flexible
Titre : Analyste de données. Nous voulons un guerrier capable de dominer le marché. Doit être jeune diplômé et sans contraintes familiales. Pas de télétravail possible. La personne devra être très compétitive et disponible en tout temps.,12,élevé,guerrier,"jeune diplômé, sans contraintes familiales, disponible en tout temps, pas de télétravail possible",télétravail possible
Titre : Scientifique des données. Nous voulons un guerrier capable de dominer le marché. Pas de télétravail possible. Culture très masculine et compétitive. La personne devra être très compétitive et disponible en tout temps.,9,élevé,guerrier,"disponible en tout temps, culture très masculine, pas de télétravail possible",télétravail possible
Titre : Spécialiste cybersécurité. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à résoudre des problèmes avec rigueur. Culture très masculine et compétitive. Notre environnement inclusif soutient la diversité.,1,faible,,culture très masculine,environnement inclusif
Titre : Analyste de données. Nous recrutons une personne pour rejoindre notre équipe. Capacité à communiquer clairement. Présence obligatoire soir et weekend. Notre environnement inclusif soutient la diversité.,1,faible,,présence obligatoire soir et weekend,environnement inclusif
Titre : Développeuse ou développeur logiciel. Notre organisation cherche une candidate ou un candidat motivé. Capacité à communiquer clairement. Pas de télétravail possible. Nous encourageons les femmes à postuler.,0,faible,,pas de télétravail possible,"nous encourageons les femmes à postuler, télétravail possible"
Titre : Spécialiste cybersécurité. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Capacité à résoudre des problèmes avec rigueur. Connaissance des outils numériques modernes. Notre environnement inclusif soutient la diversité. Nous encourageons les femmes à postuler.,0,faible,,,"environnement inclusif, nous encourageons les femmes à postuler, équipe diversifiée"
Titre : Chargée ou chargé de produit. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Connaissance des outils numériques modernes. Expérience pertinente en gestion de projet ou domaine similaire. Nous favorisons l'équilibre travail vie personnelle. Nous valorisons les candidatures de tous horizons.,0,faible,,,"candidatures de tous horizons, équilibre travail vie personnelle"
Titre : Ingénieure ou ingénieur ML. Nous voulons un guerrier capable de dominer le marché. Culture très masculine et compétitive. Doit être jeune diplômé et sans contraintes familiales. La personne devra être très compétitive et disponible en tout temps.,14,élevé,guerrier,"jeune diplômé, sans contraintes familiales, disponible en tout temps, culture très masculine",
Titre : Chargée ou chargé de produit. Notre organisation cherche une candidate ou un candidat motivé. Intérêt pour la collaboration et l'amélioration continue. Présence obligatoire soir et weekend. Nous encourageons les femmes à postuler.,1,faible,,présence obligatoire soir et weekend,nous encourageons les femmes à postuler
Titre : Ingénieure ou ingénieur ML. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à résoudre des problèmes avec rigueur. Capacité à résoudre des problèmes avec rigueur. Notre environnement inclusif soutient la diversité. Des accommodements raisonnables sont disponibles.,0,faible,,,"environnement inclusif, accommodements raisonnables"
Titre : Chargée ou chargé de produit. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Connaissance des outils numériques modernes. Intérêt pour la collaboration et l'amélioration continue. Un horaire flexible est possible selon les besoins de l'équipe. Un horaire flexible est possible selon les besoins de l'équipe.,0,faible,,,horaire flexible
Titre : Analyste de données. Nous recrutons une personne pour rejoindre notre équipe. Connaissance des outils numériques modernes. Heures illimitées attendues. Un horaire flexible est possible selon les besoins de l'équipe.,1,faible,,heures illimitées,horaire flexible
Titre : Analyste de données. Notre organisation cherche une candidate ou un candidat motivé. Capacité à résoudre des problèmes avec rigueur. Capacité à résoudre des problèmes avec rigueur. Nous encourageons les femmes à postuler. Nous favorisons l'équilibre travail vie personnelle.,0,faible,,,"équilibre travail vie personnelle, nous encourageons les femmes à postuler"
Titre : Scientifique des données. Nous cherchons un rockstar developer agressif et ultra compétitif. Présence obligatoire soir et weekend. Culture très masculine et compétitive. La personne devra être très compétitive et disponible en tout temps.,15,élevé,"agressif, compétitif, rockstar","disponible en tout temps, culture très masculine, présence obligatoire soir et weekend",
Titre : Spécialiste cybersécurité. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à communiquer clairement. Pas de télétravail possible. Des accommodements raisonnables sont disponibles.,0,faible,,pas de télétravail possible,"accommodements raisonnables, télétravail possible"
Titre : Spécialiste cybersécurité. Nous recrutons une personne pour rejoindre notre équipe. Connaissance des outils numériques modernes. Heures illimitées attendues. Des accommodements raisonnables sont disponibles.,1,faible,,heures illimitées,accommodements raisonnables
Titre : Chargée ou chargé de produit. Nous recrutons une personne pour rejoindre notre équipe. Capacité à communiquer clairement. Intérêt pour la collaboration et l'amélioration continue. Des accommodements raisonnables sont disponibles. Nous favorisons l'équilibre travail vie personnelle.,0,faible,,,"équilibre travail vie personnelle, accommodements raisonnables"
Titre : Chargée ou chargé de produit. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Capacité à résoudre des problèmes avec rigueur. Doit être jeune diplômé et sans contraintes familiales. Des accommodements raisonnables sont disponibles.,2,faible,,"jeune diplômé, sans contraintes familiales","accommodements raisonnables, équipe diversifiée"
Titre : Gestionnaire de projet. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Expérience pertinente en gestion de projet ou domaine similaire. Connaissance des outils numériques modernes. Un horaire flexible est possible selon les besoins de l'équipe. Nous encourageons les femmes à postuler.,0,faible,,,"horaire flexible, nous encourageons les femmes à postuler"
Titre : Scientifique des données. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Connaissance des outils numériques modernes. Doit être jeune diplômé et sans contraintes familiales. Nous valorisons les candidatures de tous horizons.,2,faible,,"jeune diplômé, sans contraintes familiales","candidatures de tous horizons, équipe diversifiée"
Titre : Scientifique des données. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Connaissance des outils numériques modernes. Doit être jeune diplômé et sans contraintes familiales. Nous valorisons les candidatures de tous horizons.,2,faible,,"jeune diplômé, sans contraintes familiales","candidatures de tous horizons, équipe diversifiée"
Titre : Développeuse ou développeur logiciel. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Connaissance des outils numériques modernes. Connaissance des outils numériques modernes. Nous encourageons les femmes à postuler. Nous encourageons les femmes à postuler.,0,faible,,,nous encourageons les femmes à postuler
Titre : Scientifique des données. Nous voulons un guerrier capable de dominer le marché. Présence obligatoire soir et weekend. Heures illimitées attendues. La personne devra être très compétitive et disponible en tout temps.,11,élevé,guerrier,"disponible en tout temps, heures illimitées, présence obligatoire soir et weekend",
Titre : Scientifique des données. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Expérience pertinente en gestion de projet ou domaine similaire. Présence obligatoire soir et weekend. Nous encourageons les femmes à postuler.,0,faible,,présence obligatoire soir et weekend,"nous encourageons les femmes à postuler, équipe diversifiée"
Titre : Analyste de données. Notre organisation cherche une candidate ou un candidat motivé. Connaissance des outils numériques modernes. Heures illimitées attendues. Un horaire flexible est possible selon les besoins de l'équipe.,1,faible,,heures illimitées,horaire flexible
Titre : Spécialiste cybersécurité. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Connaissance des outils numériques modernes. Présence obligatoire soir et weekend. Des accommodements raisonnables sont disponibles.,0,faible,,présence obligatoire soir et weekend,"accommodements raisonnables, équipe diversifiée"
Titre : Spécialiste cybersécurité. Notre organisation cherche une candidate ou un candidat motivé. Capacité à résoudre des problèmes avec rigueur. Pas de télétravail possible. Nous favorisons l'équilibre travail vie personnelle.,0,faible,,pas de télétravail possible,"équilibre travail vie personnelle, télétravail possible"
Titre : Ingénieure ou ingénieur ML. Nous cherchons un rockstar developer agressif et ultra compétitif. Heures illimitées attendues. Culture très masculine et compétitive. La personne devra être très compétitive et disponible en tout temps.,15,élevé,"agressif, compétitif, rockstar","disponible en tout temps, culture très masculine, heures illimitées",
Titre : Ingénieure ou ingénieur ML. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Expérience pertinente en gestion de projet ou domaine similaire. Intérêt pour la collaboration et l'amélioration continue. Nous favorisons l'équilibre travail vie personnelle. Notre environnement inclusif soutient la diversité.,0,faible,,,"environnement inclusif, équilibre travail vie personnelle"
"Titre : Scientifique des données. Nous cherchons un leader né, disponible en tout temps. Présence obligatoire soir et weekend. Culture très masculine et compétitive. La personne devra être très compétitive et disponible en tout temps.",11,élevé,leader né,"disponible en tout temps, culture très masculine, présence obligatoire soir et weekend",
Titre : Gestionnaire de projet. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à résoudre des problèmes avec rigueur. Pas de télétravail possible. Des accommodements raisonnables sont disponibles.,0,faible,,pas de télétravail possible,"accommodements raisonnables, télétravail possible"
Titre : Gestionnaire de projet. Notre organisation cherche une candidate ou un candidat motivé. Capacité à communiquer clairement. Pas de télétravail possible. Des accommodements raisonnables sont disponibles.,0,faible,,pas de télétravail possible,"accommodements raisonnables, télétravail possible"
Titre : Ingénieure ou ingénieur ML. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Expérience pertinente en gestion de projet ou domaine similaire. Intérêt pour la collaboration et l'amélioration continue. Nous favorisons l'équilibre travail vie personnelle. Des accommodements raisonnables sont disponibles.,0,faible,,,"équilibre travail vie personnelle, accommodements raisonnables, équipe diversifiée"
Titre : Ingénieure ou ingénieur ML. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Connaissance des outils numériques modernes. Présence obligatoire soir et weekend. Des accommodements raisonnables sont disponibles.,0,faible,,présence obligatoire soir et weekend,"accommodements raisonnables, équipe diversifiée"
Titre : Développeuse ou développeur logiciel. Poste pour fonceur impitoyable capable de travailler sous pression extrême. Doit être jeune diplômé et sans contraintes familiales. Culture très masculine et compétitive. La personne devra être très compétitive et disponible en tout temps.,18,élevé,"fonceur, impitoyable, sous pression extrême","jeune diplômé, sans contraintes familiales, disponible en tout temps, culture très masculine",
Titre : Spécialiste cybersécurité. Nous recrutons une personne pour rejoindre notre équipe. Capacité à communiquer clairement. Connaissance des outils numériques modernes. Nous favorisons l'équilibre travail vie personnelle. Nous valorisons les candidatures de tous horizons.,0,faible,,,"candidatures de tous horizons, équilibre travail vie personnelle"
Titre : Ingénieure ou ingénieur ML. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Intérêt pour la collaboration et l'amélioration continue. Capacité à résoudre des problèmes avec rigueur. Nous favorisons l'équilibre travail vie personnelle. Des accommodements raisonnables sont disponibles.,0,faible,,,"équilibre travail vie personnelle, accommodements raisonnables"
Titre : Ingénieure ou ingénieur ML. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à résoudre des problèmes avec rigueur. Culture très masculine et compétitive. Notre environnement inclusif soutient la diversité.,1,faible,,culture très masculine,environnement inclusif
Titre : Ingénieure ou ingénieur ML. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Capacité à résoudre des problèmes avec rigueur. Doit être jeune diplômé et sans contraintes familiales. Un horaire flexible est possible selon les besoins de l'équipe.,2,faible,,"jeune diplômé, sans contraintes familiales","horaire flexible, équipe diversifiée"
Titre : Chargée ou chargé de produit. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à communiquer clairement. Expérience pertinente en gestion de projet ou domaine similaire. Des accommodements raisonnables sont disponibles. Nous encourageons les femmes à postuler.,0,faible,,,"accommodements raisonnables, nous encourageons les femmes à postuler"
Titre : Chargée ou chargé de produit. Nous cherchons un rockstar developer agressif et ultra compétitif. Culture très masculine et compétitive. Présence obligatoire soir et weekend. La personne devra être très compétitive et disponible en tout temps.,15,élevé,"agressif, compétitif, rockstar","disponible en tout temps, culture très masculine, présence obligatoire soir et weekend",
Titre : Analyste de données. Nous recrutons une personne pour rejoindre notre équipe. Intérêt pour la collaboration et l'amélioration continue. Doit être jeune diplômé et sans contraintes familiales. Notre environnement inclusif soutient la diversité.,4,modéré,,"jeune diplômé, sans contraintes familiales",environnement inclusif
Titre : Spécialiste cybersécurité. Notre organisation cherche une candidate ou un candidat motivé. Capacité à communiquer clairement. Capacité à résoudre des problèmes avec rigueur. Des accommodements raisonnables sont disponibles. Un horaire flexible est possible selon les besoins de l'équipe.,0,faible,,,"horaire flexible, accommodements raisonnables"
Titre : Développeuse ou développeur logiciel. Notre organisation cherche une candidate ou un candidat motivé. Capacité à communiquer clairement. Doit être jeune diplômé et sans contraintes familiales. Un horaire flexible est possible selon les besoins de l'équipe.,4,modéré,,"jeune diplômé, sans contraintes familiales",horaire flexible
Titre : Scientifique des données. Nous voulons un guerrier capable de dominer le marché. Culture très masculine et compétitive. Pas de télétravail possible. La personne devra être très compétitive et disponible en tout temps.,9,élevé,guerrier,"disponible en tout temps, culture très masculine, pas de télétravail possible",télétravail possible
Titre : Spécialiste cybersécurité. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Connaissance des outils numériques modernes. Intérêt pour la collaboration et l'amélioration continue. Nous favorisons l'équilibre travail vie personnelle. Nous encourageons les femmes à postuler.,0,faible,,,"équilibre travail vie personnelle, nous encourageons les femmes à postuler"
Titre : Spécialiste cybersécurité. Poste pour fonceur impitoyable capable de travailler sous pression extrême. Pas de télétravail possible. Présence obligatoire soir et weekend. La personne devra être très compétitive et disponible en tout temps.,13,élevé,"fonceur, impitoyable, sous pression extrême","disponible en tout temps, pas de télétravail possible, présence obligatoire soir et weekend",télétravail possible
Titre : Gestionnaire de projet. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Connaissance des outils numériques modernes. Intérêt pour la collaboration et l'amélioration continue. Des accommodements raisonnables sont disponibles. Notre environnement inclusif soutient la diversité.,0,faible,,,"environnement inclusif, accommodements raisonnables"
Titre : Spécialiste cybersécurité. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Expérience pertinente en gestion de projet ou domaine similaire. Capacité à communiquer clairement. Des accommodements raisonnables sont disponibles. Un horaire flexible est possible selon les besoins de l'équipe.,0,faible,,,"horaire flexible, accommodements raisonnables, équipe diversifiée"
Titre : Gestionnaire de projet. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Expérience pertinente en gestion de projet ou domaine similaire. Connaissance des outils numériques modernes. Notre environnement inclusif soutient la diversité. Nous encourageons les femmes à postuler.,0,faible,,,"environnement inclusif, nous encourageons les femmes à postuler"
Titre : Chargée ou chargé de produit. Nous recrutons une personne pour rejoindre notre équipe. Capacité à résoudre des problèmes avec rigueur. Culture très masculine et compétitive. Notre environnement inclusif soutient la diversité.,1,faible,,culture très masculine,environnement inclusif
Titre : Développeuse ou développeur logiciel. Poste pour fonceur impitoyable capable de travailler sous pression extrême. Présence obligatoire soir et weekend. Présence obligatoire soir et weekend. La personne devra être très compétitive et disponible en tout temps.,12,élevé,"fonceur, impitoyable, sous pression extrême","disponible en tout temps, présence obligatoire soir et weekend",
Titre : Chargée ou chargé de produit. Notre organisation cherche une candidate ou un candidat motivé. Expérience pertinente en gestion de projet ou domaine similaire. Doit être jeune diplômé et sans contraintes familiales. Notre environnement inclusif soutient la diversité.,4,modéré,,"jeune diplômé, sans contraintes familiales",environnement inclusif
Titre : Analyste de données. Poste pour fonceur impitoyable capable de travailler sous pression extrême. Présence obligatoire soir et weekend. Doit être jeune diplômé et sans contraintes familiales. La personne devra être très compétitive et disponible en tout temps.,18,élevé,"fonceur, impitoyable, sous pression extrême","jeune diplômé, sans contraintes familiales, disponible en tout temps, présence obligatoire soir et weekend",
"Titre : Gestionnaire de projet. Nous cherchons un leader né, disponible en tout temps. Présence obligatoire soir et weekend. Présence obligatoire soir et weekend. La personne devra être très compétitive et disponible en tout temps.",8,modéré,leader né,"disponible en tout temps, présence obligatoire soir et weekend",
Titre : Scientifique des données. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à résoudre des problèmes avec rigueur. Capacité à résoudre des problèmes avec rigueur. Notre environnement inclusif soutient la diversité. Nous valorisons les candidatures de tous horizons.,0,faible,,,"candidatures de tous horizons, environnement inclusif"
Titre : Ingénieure ou ingénieur ML. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Intérêt pour la collaboration et l'amélioration continue. Intérêt pour la collaboration et l'amélioration continue. Nous encourageons les femmes à postuler. Des accommodements raisonnables sont disponibles.,0,faible,,,"accommodements raisonnables, nous encourageons les femmes à postuler, équipe diversifiée"
Titre : Développeuse ou développeur logiciel. Nous voulons un guerrier capable de dominer le marché. Culture très masculine et compétitive. Pas de télétravail possible. La personne devra être très compétitive et disponible en tout temps.,9,élevé,guerrier,"disponible en tout temps, culture très masculine, pas de télétravail possible",télétravail possible
Titre : Ingénieure ou ingénieur ML. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Expérience pertinente en gestion de projet ou domaine similaire. Intérêt pour la collaboration et l'amélioration continue. Un horaire flexible est possible selon les besoins de l'équipe. Nous encourageons les femmes à postuler.,0,faible,,,"horaire flexible, nous encourageons les femmes à postuler, équipe diversifiée"
Titre : Chargée ou chargé de produit. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à résoudre des problèmes avec rigueur. Culture très masculine et compétitive. Nous favorisons l'équilibre travail vie personnelle.,1,faible,,culture très masculine,équilibre travail vie personnelle
Titre : Analyste de données. Nous voulons un guerrier capable de dominer le marché. Culture très masculine et compétitive. Doit être jeune diplômé et sans contraintes familiales. La personne devra être très compétitive et disponible en tout temps.,14,élevé,guerrier,"jeune diplômé, sans contraintes familiales, disponible en tout temps, culture très masculine",
Titre : Scientifique des données. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Capacité à résoudre des problèmes avec rigueur. Présence obligatoire soir et weekend. Nous favorisons l'équilibre travail vie personnelle.,1,faible,,présence obligatoire soir et weekend,équilibre travail vie personnelle
Titre : Ingénieure ou ingénieur ML. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Intérêt pour la collaboration et l'amélioration continue. Connaissance des outils numériques modernes. Nous encourageons les femmes à postuler. Nous valorisons les candidatures de tous horizons.,0,faible,,,"candidatures de tous horizons, nous encourageons les femmes à postuler, équipe diversifiée"
Titre : Analyste de données. Nous recherchons un profil capable de collaborer avec plusieurs équipes. Connaissance des outils numériques modernes. Expérience pertinente en gestion de projet ou domaine similaire. Nous encourageons les femmes à postuler. Nous valorisons les candidatures de tous horizons.,0,faible,,,"candidatures de tous horizons, nous encourageons les femmes à postuler"
"Titre : Développeuse ou développeur logiciel. Nous cherchons un leader né, disponible en tout temps. Culture très masculine et compétitive. Heures illimitées attendues. La personne devra être très compétitive et disponible en tout temps.",11,élevé,leader né,"disponible en tout temps, culture très masculine, heures illimitées",
Titre : Chargée ou chargé de produit. Ce poste vise à soutenir la croissance d'une équipe diversifiée. Capacité à résoudre des problèmes avec rigueur. Présence obligatoire soir et weekend. Des accommodements raisonnables sont disponibles.,0,faible,,présence obligatoire soir et weekend,"accommodements raisonnables, équipe diversifiée"
